"site","year","TRT","class","count","clickr","site_year","tier1","tier2","tier3"
"105","1509","BYSP","Corallimorph",4,"CA","105_1509","noncalcifying","Corallimorph","Corallimorph"
"107","1509","XSP","Corallimorph",2,"CA","107_1509","noncalcifying","Corallimorph","Corallimorph"
"109","1509","RAN","Corallimorph",3,"CA","109_1509","noncalcifying","Corallimorph","Corallimorph"
"111","1509","REM","Corallimorph",4,"CA","111_1509","noncalcifying","Corallimorph","Corallimorph"
"113","1509","XSP","Corallimorph",5,"CA","113_1509","noncalcifying","Corallimorph","Corallimorph"
"115","1509","BYSP","Corallimorph",12,"CA","115_1509","noncalcifying","Corallimorph","Corallimorph"
"117","1509","RAN","Corallimorph",2,"CA","117_1509","noncalcifying","Corallimorph","Corallimorph"
"119","1509","CON","Corallimorph",52,"CA","119_1509","noncalcifying","Corallimorph","Corallimorph"
"121","1509","CON","Corallimorph",116,"CA","121_1509","noncalcifying","Corallimorph","Corallimorph"
"125","1509","CON","Corallimorph",206,"CA","125_1509","noncalcifying","Corallimorph","Corallimorph"
"127","1509","BYSP","Corallimorph",3,"CA","127_1509","noncalcifying","Corallimorph","Corallimorph"
"129","1509","REM","Corallimorph",2,"CA","129_1509","noncalcifying","Corallimorph","Corallimorph"
"101","1510","REM","Corallimorph",1,"CA","101_1510","noncalcifying","Corallimorph","Corallimorph"
"103","1510","RAN","Corallimorph",1,"CA","103_1510","noncalcifying","Corallimorph","Corallimorph"
"107","1510","XSP","Corallimorph",1,"CA","107_1510","noncalcifying","Corallimorph","Corallimorph"
"119","1510","CON","Corallimorph",52,"CA","119_1510","noncalcifying","Corallimorph","Corallimorph"
"121","1510","CON","Corallimorph",116,"CA","121_1510","noncalcifying","Corallimorph","Corallimorph"
"125","1510","CON","Corallimorph",206,"CA","125_1510","noncalcifying","Corallimorph","Corallimorph"
"101","1606","REM","Corallimorph",1,"CA","101_1606","noncalcifying","Corallimorph","Corallimorph"
"103","1606","RAN","Corallimorph",1,"CA","103_1606","noncalcifying","Corallimorph","Corallimorph"
"105","1606","BYSP","Corallimorph",2,"CA","105_1606","noncalcifying","Corallimorph","Corallimorph"
"107","1606","XSP","Corallimorph",3,"CA","107_1606","noncalcifying","Corallimorph","Corallimorph"
"113","1606","XSP","Corallimorph",1,"CA","113_1606","noncalcifying","Corallimorph","Corallimorph"
"115","1606","BYSP","Corallimorph",2,"CA","115_1606","noncalcifying","Corallimorph","Corallimorph"
"119","1606","CON","Corallimorph",50,"CA","119_1606","noncalcifying","Corallimorph","Corallimorph"
"121","1606","CON","Corallimorph",31,"CA","121_1606","noncalcifying","Corallimorph","Corallimorph"
"123","1606","XSP","Corallimorph",1,"CA","123_1606","noncalcifying","Corallimorph","Corallimorph"
"125","1606","CON","Corallimorph",62,"CA","125_1606","noncalcifying","Corallimorph","Corallimorph"
"127","1606","BYSP","Corallimorph",8,"CA","127_1606","noncalcifying","Corallimorph","Corallimorph"
"129","1606","REM","Corallimorph",1,"CA","129_1606","noncalcifying","Corallimorph","Corallimorph"
"101","1609","REM","Corallimorph",1,"CA","101_1609","noncalcifying","Corallimorph","Corallimorph"
"103","1609","RAN","Corallimorph",1,"CA","103_1609","noncalcifying","Corallimorph","Corallimorph"
"105","1609","BYSP","Corallimorph",1,"CA","105_1609","noncalcifying","Corallimorph","Corallimorph"
"107","1609","XSP","Corallimorph",1,"CA","107_1609","noncalcifying","Corallimorph","Corallimorph"
"109","1609","RAN","Corallimorph",3,"CA","109_1609","noncalcifying","Corallimorph","Corallimorph"
"115","1609","BYSP","Corallimorph",1,"CA","115_1609","noncalcifying","Corallimorph","Corallimorph"
"119","1609","CON","Corallimorph",11,"CA","119_1609","noncalcifying","Corallimorph","Corallimorph"
"121","1609","CON","Corallimorph",21,"CA","121_1609","noncalcifying","Corallimorph","Corallimorph"
"125","1609","CON","Corallimorph",27,"CA","125_1609","noncalcifying","Corallimorph","Corallimorph"
"127","1609","BYSP","Corallimorph",2,"CA","127_1609","noncalcifying","Corallimorph","Corallimorph"
"101","1709","REM","Corallimorph",1,"CA","101_1709","noncalcifying","Corallimorph","Corallimorph"
"103","1709","RAN","Corallimorph",1,"CA","103_1709","noncalcifying","Corallimorph","Corallimorph"
"105","1709","BYSP","Corallimorph",1,"CA","105_1709","noncalcifying","Corallimorph","Corallimorph"
"107","1709","XSP","Corallimorph",5,"CA","107_1709","noncalcifying","Corallimorph","Corallimorph"
"109","1709","RAN","Corallimorph",2,"CA","109_1709","noncalcifying","Corallimorph","Corallimorph"
"111","1709","REM","Corallimorph",1,"CA","111_1709","noncalcifying","Corallimorph","Corallimorph"
"121","1709","CON","Corallimorph",1,"CA","121_1709","noncalcifying","Corallimorph","Corallimorph"
"125","1709","CON","Corallimorph",4,"CA","125_1709","noncalcifying","Corallimorph","Corallimorph"
"127","1709","BYSP","Corallimorph",1,"CA","127_1709","noncalcifying","Corallimorph","Corallimorph"
"101","1809","REM","Corallimorph",5,"CA","101_1809","noncalcifying","Corallimorph","Corallimorph"
"107","1809","XSP","Corallimorph",4,"CA","107_1809","noncalcifying","Corallimorph","Corallimorph"
"111","1809","REM","Corallimorph",3,"CA","111_1809","noncalcifying","Corallimorph","Corallimorph"
"115","1809","BYSP","Corallimorph",1,"CA","115_1809","noncalcifying","Corallimorph","Corallimorph"
"117","1809","RAN","Corallimorph",1,"CA","117_1809","noncalcifying","Corallimorph","Corallimorph"
"121","1809","CON","Corallimorph",2,"CA","121_1809","noncalcifying","Corallimorph","Corallimorph"
